Days,Show (MG8),Media Views,Play Duration - Decimal (minutes),Media Views
2021-02-11,Der Bestatter,740,24690,740
2020-11-27,Frieden,740,20066,740
2020-11-12,Wilder,738,15935,738
2021-02-14,Der Bestatter,737,27268,737
2020-12-09,Frieden,735,17740,735
2020-11-24,Der Bestatter,734,13290,734
2021-02-03,La grande histoire du ski,733,5746,733
2020-12-19,Frieden,732,19984,732
2021-03-19,Wilder,732,18979,732
2020-12-15,Advent; Advent,732,6047,732
2021-02-12,Der Bestatter,730,24184,730
2020-11-07,Quartier des banques,730,12223,730
2021-02-09,Der Bestatter,729,27008,729
2021-03-23,Wilder,727,20335,727
2021-03-16,Der Bestatter,727,20030,727
2021-02-19,Handyman,727,16342,727
2021-02-20,Handyman,723,15823,723
2021-03-18,Wilder,721,17845,721
2021-03-07,Beyond Boobs,721,7687,721
2021-03-17,Der Bestatter,714,19003,714
2021-02-14,Seitentriebe,714,10514,714
2021-03-18,Der Bestatter,712,19074,712
2020-12-19,Metta da fein,710,8081,710
2020-11-24,Wilder,708,19429,708
2020-11-07,Seitentriebe,707,8211,707
2020-12-25,Cellule de crise,704,20949,704
2021-03-06,Beyond Boobs,704,6630,704
2020-12-28,Titeuf; le film,704,6436,704
2020-12-14,Metta da fein,702,9186,702
2021-02-10,Der Bestatter,697,25584,697
2021-01-03,Seitentriebe,696,11853,696
2021-02-01,Seitentriebe,695,6295,695
2020-12-26,Cellule de crise,694,19897,694
2020-12-29,Titeuf; le film,687,6328,687
2021-03-01,Der Bestatter,686,20376,686
2021-03-08,Der Bestatter,685,19525,685
2021-01-03,Dominique,685,5108,685
2020-12-11,Frieden,683,16919,683
2020-11-27,Bis dass der Tod euch scheidet,683,15625,683
2020-11-26,Wilder,680,22771,680
2021-03-12,Der Bestatter,678,20387,678
2020-12-10,Frieden,674,16442,674
2021-02-19,Der Bestatter,672,20084,672
2020-11-26,Der Bestatter,672,13728,672
2020-12-20,Cleveland versus Wall Street,670,2680,670
2020-11-26,Frieden,667,18274,667
2021-03-10,Der Bestatter,666,19316,666
2021-02-15,Der Bestatter,664,22493,664
2021-02-18,Der Bestatter,663,18927,663
2021-02-01,La grande histoire du ski,661,6776,661
2020-12-20,Wilder,659,20860,659
2020-12-28,Cellule de crise,659,19128,659
2020-11-27,Der Bestatter,659,16004,659
2021-02-09,Das Fräuleinwunder,656,12995,656
2021-03-12,Beyond Boobs,656,9330,656
2021-03-19,Der Bestatter,655,18294,655
2020-12-03,Der Bestatter,653,21752,653
2020-12-06,Frieden,653,18491,653
2020-12-16,Advent; Advent,653,5104,653
2021-03-24,Wilder,648,17460,648
2021-03-06,Home,648,9914,648
2020-12-29,Frieden,647,18131,647
2021-03-22,Der Bestatter,646,16292,646
2021-03-05,Beyond Boobs,646,6909,646
2020-12-15,Frieden,643,17606,643
2021-01-17,Seitentriebe,643,11525,643
2020-12-22,Advent; Advent,642,8153,642
2021-03-03,Der Bestatter,641,17878,641
2021-02-08,Das Fräuleinwunder,640,15472,640
2020-11-17,War Photographer,640,5329,640
2021-01-02,Seitentriebe,639,10748,639
2021-03-25,Wilder,638,17252,638
2021-03-15,Liebe und andere Unfälle,636,13402,636
2021-02-16,Der Bestatter,635,22071,635
2020-11-27,Wilder,632,20153,632
2020-11-16,Wilder,632,16197,632
2021-02-17,Der Bestatter,631,20755,631
2021-02-21,Handyman,630,12916,630
2020-12-14,Frieden,628,16401,628
2020-11-08,Helvetica,627,12915,627
2020-11-25,Wilder,626,19343,626
2020-11-10,Seitentriebe,625,9374,625
2021-03-23,Der Bestatter,623,16087,623
2020-12-05,Frieden,622,18423,622
2020-12-19,Advent; Advent,617,6722,617
2021-02-20,Der Bestatter,616,19231,616
2021-02-22,Handyman,616,11573,616
2020-11-17,Seitentriebe,615,8063,615
2021-03-02,Der Bestatter,613,17603,613
2020-11-21,Der Bestatter,613,10480,613
2020-12-30,Dominique,613,4347,613
2020-11-12,Das Fräulein,612,2479,612
2020-11-13,Quartier des banques,611,15211,611
2020-12-21,Wilder,610,18693,610
2020-11-08,Zabardast: journal intime en haute altitude,608,8320,608
2020-12-07,Advent; Advent,604,7284,604
2020-11-11,Der Kreis,602,8358,602
2020-11-18,Seitentriebe,602,7946,602
2020-11-09,Quartier des banques,601,12921,601
2020-12-31,Dominique,599,4766,599
2020-12-29,Cellule de crise,598,15424,598
2020-11-22,Seitentriebe,598,8024,598
2020-12-27,Seitentriebe,596,8968,596
2020-12-01,Frieden,594,15090,594
2020-12-30,Eden für jeden,593,20934,593
2021-01-10,Seitentriebe,590,10035,590
2020-12-19,Wilder,586,17677,586
2020-12-02,Sur tous les fronts avec le CICR,585,3049,585
2020-11-11,Quartier des banques,584,13979,584
2020-11-18,Wilder,583,15519,583
2020-12-21,Frieden,582,15592,582
2020-12-30,Frieden,581,17382,581
2020-12-25,Frieden,581,17050,581
2021-03-13,Beyond Boobs,581,9002,581
2021-02-12,Frieden,581,6634,581
2021-03-16,Liebe und andere Unfälle,580,14077,580
2021-03-20,Der Bestatter,579,17452,579
2020-12-06,Wilder,576,19639,576
2020-12-22,Frieden,576,15204,576
2020-12-23,Frieden,570,14847,570
2021-03-15,Der Bestatter,569,14789,569
2020-11-21,Seitentriebe,569,7896,569
2020-11-07,Anomalia,567,4941,567
2020-12-22,Wilder,565,17115,565
2020-12-23,Wilder,565,15830,565
2021-01-06,Seitentriebe,565,9342,565
2021-01-05,Seitentriebe,562,8757,562
2020-11-12,Seitentriebe,562,7055,562
2021-01-01,Seitentriebe,560,10712,560
2021-01-03,One More Jump,559,3505,559
2021-01-09,Frieden,557,15338,557
2021-03-17,Liebe und andere Unfälle,556,13006,556
2021-01-01,One More Jump,556,4527,556
2021-01-04,Frieden,554,14526,554
2021-01-02,Cellule de crise,553,16918,553
2020-12-16,Frieden,552,14546,552
2020-11-09,Seitentriebe,550,7664,550
2020-12-24,Wilder,549,15976,549
2021-02-16,Seitentriebe,549,8542,549
2020-11-17,Wilder,547,14672,547
2020-11-30,Frieden,544,17041,544
2021-01-10,Frieden,542,14617,542
2020-12-10,Advent; Advent,542,3264,542
2020-11-11,Seitentriebe,540,7690,540
2021-03-24,Der Bestatter,538,15854,538
2020-11-08,Frontaliers Disaster,538,7802,538
2020-12-30,Seitentriebe,537,9424,537
2020-11-07,Frontaliers Disaster,537,8205,537
2020-12-24,Nacht in der Schweiz,537,7283,537
2021-01-05,Frieden,534,13311,534
2020-11-15,Station Horizon,534,10259,534
2020-12-23,Advent; Advent,533,6765,533
2020-12-26,Seitentriebe,532,7936,532
2020-12-24,Titeuf; le film,531,3874,531
2021-01-02,One More Jump,529,4455,529
2020-11-16,Quartier des banques,528,10717,528
2021-01-01,Cellule de crise,527,15091,527
2021-01-09,Seitentriebe,527,8994,527
2020-12-03,Sur tous les fronts avec le CICR,527,3396,527
2021-01-03,Cellule de crise,526,16691,526
2020-12-17,Frieden,525,14383,525
2021-01-24,Seitentriebe,525,8475,525
2021-03-20,Es geschah am hellichten Tag,523,9659,523
2020-11-08,EMS-Chemie – Dunkle Helfer nach dem Zweiten Weltkrieg,522,7867,522
2020-11-19,Wilder,520,13407,520
2020-11-23,Seitentriebe,520,5438,520
2020-12-21,Cleveland versus Wall Street,519,2976,519
2020-12-29,L heure du secret,518,12212,518
2021-02-15,Seitentriebe,515,8077,515
2021-01-16,Seitentriebe,513,7656,513
2021-02-11,Die göttliche Ordnung,512,10688,512
